,Fatma_violence,clean_text,non_vio_prob,vio_prob,violence_prediction
429,1,killed far via,0.7748799923137942,0.2251200076862056,0
1064,1,breaking year old man died taxi drove group,0.9015264779518746,0.09847352204812561,0
840,0,erdogan defends riot police tactics reuters prime minister tayyip,0.5394613403252809,0.460538659674719,1
1220,1,use gas crowd control war crime,0.9578133895237346,0.042186610476265395,0
1103,0,ankara resident tells police gathering expected sunday afternoon occupyturkey,0.5850350665269032,0.4149649334730968,1
1144,1,video lawyers arrested many injured police enter square clear,0.6976834766297261,0.3023165233702739,0
295,1,spray eyes malox standing fire smoke helps tear right occupyg,0.9349170377741086,0.06508296222589148,0
618,1,capital city rocked police crackdown solidarity via,0.7303984016068341,0.26960159839316605,0
1234,1,canim hain polisler friends injured please spread word tayyip tayyipresign,0.9143197494026952,0.08568025059730472,0
668,1,right dozens injuried kizillay via,0.9626920038749937,0.03730799612500641,0
1089,0,tracking drop tweets lot ppl talking police attack,0.09360566750828768,0.9063943324917124,1
298,1,cbc journalists say released sasapetricic derekstoffelcbc arrested,0.6584993624401518,0.34150063755984816,0
283,1,occupy activists arrested social media posts amid via,0.8395109477518842,0.16048905224811563,0
891,1,wrote almost killed respect real reporters,0.7739312100390697,0.2260687899609304,0
1087,0,youtube gezipark polis basina karsi police press cohttpaddresscjxjn umto direngezi direntaksim direnturkiye,0.3586439988972042,0.6413560011027958,1
834,0,police trying coax people leaving hilton telling taken,0.3372046430396441,0.6627953569603557,1
559,1,bbc reporter never saw much teargas thrown anytime life,0.8152514141761862,0.1847485858238136,0
666,1,many asthma allergy sufferers divan hotel waiting help doctors needed,0.8345159005423988,0.16548409945760112,0
1080,0,young people thronging streets iran ones,0.6086586235205244,0.39134137647947576,1
1036,0,america donut day day bbq ribs day every haha happy national donut day,0.519713720120779,0.48028627987922085,1
554,1,mahmut tanal reports police carrying pepper gas put,0.7208069527368676,0.27919304726313243,0
585,1,good read erdoan shot foot via,0.9460198610687989,0.05398013893120115,0
1101,0,neither hollywood made police turkishspring gezipark,0.6078476899484831,0.39215231005151685,1
1303,1,police teargasing women children cnn bbcworld libya algeria egyptair un ap,0.7370483148624541,0.26295168513754585,0
440,1,people throw carnations state responds thuggery intimidation,0.8792753313697211,0.12072466863027861,0
586,1,said police burning trees origin cause,0.7896477776976404,0.21035222230235956,0
1208,1,riots barricades street battles police fight photos video direngezip,0.9083806721927583,0.09161932780724157,0
710,1,erdogan wounded felled reuters dazedmagazine riots continue cause uproar trafalgar square hosts version,0.9515993552573849,0.048400644742615094,0
432,1,sos urgent petition erdogan end crack,0.9465296593875925,0.053470340612407394,0
127,1,act send message authorities end abuse reveal extent injuries pls occup,0.9383790913593983,0.061620908640601636,0
